证券代码,证券简称,股票英文简称,"注册资本
[单位] 元",公司中文名称,公司英文名称,"公司属性
[交易日期] 最新收盘日","企业规模
[交易日期] 最新收盘日",主营产品名称,主营产品类型,公司简介,经营范围,"所属Wind行业名称
","所属证监会行业名称
",所属申万行业名称,"所属中信行业名称
","总股本
[交易日期] 最新
[单位] 股","总市值1
[交易日期] 最新收盘日
[币种] 原始币种
[单位] 元",new
600519.SH,贵州茅台,KWEICHOW MOUTAI,"1,256,197,800.00",贵州茅台酒股份有限公司,"Kweichow Moutai Co.,Ltd.",地方国有企业,大型,财富酒、灿烂人生酒、陈年茅台酒、贵州茅台酒、汉帝茅台、华窖酒、茅台王子酒、茅台迎宾酒、名将酒、仁酒、神舟酒,白酒,公司是国内白酒行业的标志性企业，主要生产销售世界三大名酒之一的茅台酒，同时进行饮料、食品、包装材料的生产和销售，防伪技术开发，信息产业相关产品的研制开发。茅台酒历史悠久，源远流长，是酱香型白酒的典型代表，享有“国酒”的美称。目前，公司茅台酒年生产量已突破一万吨，43°、38°、33°茅台酒拓展了茅台酒家族低度酒的发展空间，茅台王子酒、茅台迎宾酒满足了中低档消费者的需求，15年、30年、50年、80年陈年茅台酒填补了我国极品酒、年份酒、陈年老窖的空白，在国内独创年代梯级式的产品开发模式。公司产品形成了低度、高中低档、极品三大系列70多个规格品种，全方位跻身市场，从而占据了白酒市场制高点，称雄于中国极品酒市场。,茅台酒及系列酒的生产与销售；饮料、食品、包装材料的生产、销售；防伪技术开发、信息产业相关产品的研制、开发；酒店经营管理、住宿、餐饮、娱乐、洗浴及停车场管理服务；车辆运输、维修保养(具体内容以工商核定登记为准)。,日常消费,制造业,食品饮料,食品饮料,"1,256,197,800.00","2,214,048,622,500.00","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将贵州茅台酒股份有限公司简称为贵州茅台，请对其进行打分。近日，贵州茅台连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601398.SH,工商银行,ICBC,"356,406,257,089.00",中国工商银行股份有限公司,Industrial and Commercial Bank of China Limited,中央国有企业,大型,工商银行存贷款业务、工商银行第三方存管、工商银行电子速汇、工商银行公务用卡、工商银行汇款直通车、工商银行利添利、工商银行牡丹贷记卡、工商银行牡丹国际借记卡、工商银行牡丹国际信用卡、工商银行牡丹灵通卡、工商银行牡丹信用卡、工商银行牡丹运通卡、工商银行牡丹中油卡、工商银行企业年金、工商银行融资业务、工商银行商务套餐、工商银行投资银行业务、工商银行外币兑换、工商银行网上商城、工商银行协定存款、工商银行信托资产托管、工商银行证券业务、工商银行资金托管,存贷款业务、电子银行业务、机构业务、人民币理财、托管业务、银行卡、证券业务、中间业务,公司是中国最大的商业银行之一，经过持续努力和稳健发展，已经迈入世界领先大银行行列，拥有优质的客户基础、多元的业务结构、强劲的创新能力和市场竞争力，向全球公司客户和个人客户提供广泛的金融产品和服务。始终聚焦主业，坚持服务实体经济的本源，与实体经济共荣共存、共担风雨、共同成长；始终坚持风险为本，牢牢守住底线，将控制和化解风险作为不二铁律；始终坚持对商业银行经营规律的把握与遵循，致力于打造“百年老店”；始终坚持稳中求进、创新求进，持续深化大零售、大资管、大投行以及国际化和综合化战略，积极拥抱互联网；始终坚持专业专注，开拓专业化经营模式，锻造“大行工匠”。国际化、综合化经营格局不断完善，境外网络扩展至多个国家和地区，盈利贡献进一步提升。,办理人民币存款、贷款；同业拆借业务；国内外结算；办理票据承兑、贴现、转贴现；各类汇兑业务；代理资金清算；提供信用证服务及担保；代理销售业务；代理发行、代理承销、代理兑付政府债券；代收代付业务；代理证券资金清算业务(银证转账)；代理保险业务；代理政策性银行、外国政府和国际金融机构贷款业务；保管箱服务；发行金融债券；买卖政府债券、金融债券；证券投资基金、企业年金托管业务；企业年金受托管理服务、年金账户管理服务；开放式基金的注册登记、认购、申购和赎回业务；资信调查、咨询、见证业务；贷款承诺；企业、个人财务顾问服务；组织或参加银团贷款；外汇存款；外汇贷款；外币兑换；出口托收及进口代收；外汇票据承兑和贴现；外汇借款；外汇担保；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；自营、代客外汇买卖；外汇金融衍生业务；银行卡业务；电话银行、网上银行、手机银行业务；办理结汇、售汇业务；经国务院银行业监督管理机构核准的其他业务。,金融,金融业,银行,银行,"356,406,257,089.00","1,596,235,138,690.04","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国工商银行股份有限公司简称为工商银行，请对其进行打分。近日，工商银行连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
600941.SH,中国移动,CHINA MOBILE,"21,388,552,312.00",中国移动有限公司,China Mobile Limited,中央国有企业,大型,IDC、数字应用、物联网、移动通信、有线宽带的通信服务、云计算,互联网服务、寻呼通信服务,中国移动是全球领先的通信及信息服务企业，致力于为个人、家庭、政企、新兴市场提供全方位的通信及信息服务，是我国信息通信产业发展壮大的科技引领者和创新推动者。二十余年来，公司持续推进信息技术突破与应用，推动我国信息通信产业实现了“2G跟随、3G突破、4G同步、5G引领”的跨越式发展，建成了惠及全球五分之一人口的高速、移动、安全、泛在信息基础设施，一直以来，公司持续推进转型升级和创新发展，在语音、数据、宽带、专线、IDC、云计算、物联网等业务基础上，积极开拓数字经济新蓝海，不断推出超高清视频、视频彩铃、和彩云、移动认证、权益超市等个人数字内容与应用，拓展娱乐、教育、养老、安防等多样化智慧家庭运营服务，引领智慧城市、工业、交通、医疗等产业互联网DICT解决方案示范项目落地。进入5G时代，公司积极筑牢“新基建”根基，夯实千行百业数智化转型的关键基础；加速“新要素”运用，推动信息技术和数据的汇聚应用，为经济增长注入强劲动力；促进“新业态”繁荣，丰富拓展数字生活、生产、治理的信息服务，打造经济社会民生数智化转型升级的创新引擎。,基础电信业务；增值电信业务；互联网视听节目服务、手机电视分发服务、IPTV传输服务；制作、发行广播电视节目；经营与信息通信业务相关的系统集成、漫游结算清算、技术开发、技术服务、广告业务、设备销售和进出口业务等；国有资产投资及管理；业务培训、会议服务；设计、制作广告，利用自有媒体发布广告。,电信服务,信息传输、软件和信息技术服务业,通信,通信,"21,388,552,312.00","1,256,105,440,847.58","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国移动有限公司简称为中国移动，请对其进行打分。近日，中国移动连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601857.SH,中国石油,PETROCHINA,"183,020,977,818.00",中国石油天然气股份有限公司,Petrochina Company Limited,中央国有企业,大型,中国石油PTA、中国石油苯酚酮、中国石油采油设备、中国石油柴油、中国石油芳烃、中国石油复合肥、中国石油合成树脂、中国石油加油站、中国石油勘探设备、中国石油沥青、中国石油煤油、中国石油尿素、中国石油汽油、中国石油润滑油、中国石油石油液化气、中国石油塑料、中国石油塑料包装袋、中国石油天然气、中国石油烯烃、中国石油有机醇、中国石油有机溶剂、中国石油原油、中国石油钻井设备,成品油、氮肥、复合(混)肥、高分子聚合物、加油站、勘探采油设备及配件、溶剂油、润滑油、塑料包装制品、天然气勘探与生产、液化气、有机化工原料、原油勘探与生产、钻井设备及配件,公司是中国油气行业占主导地位的最大的油气生产和销售商，是中国销售收入最大的公司之一，也是世界最大的石油公司之一。公司致力于发展成为具有较强竞争力的国际能源公司，成为全球石油石化产品重要的生产和销售商之一。中国石油广泛从事与石油、天然气有关的各项业务，主要包括：原油和天然气的勘探、开发、生产和销售；原油和石油产品的炼制、运输、储存和销售；基本石油化工产品、衍生化工产品及其他化工产品的生产和销售；天然气、原油和成品油的输送及天然气的销售。公司以科学发展观为指导，加快实施资源、市场和国际化三大战略，着力加快转变增长方式，着力提高自主创新能力，着力建立安全环保节能长效机制，着力建设和谐企业，致力于发展成为具有较强竞争力的国际能源公司。,许可经营项目：矿产资源勘查、选矿、陆地石油和天然气开采、海洋石油开采、海洋天然气开采；地热资源开采、供暖服务、供冷服务；燃气经营；原油批发、原油仓储；成品油批发、成品油仓储、成品油零售；危险化学品生产、危险化学品仓储、危险化学品经营；发电业务、输电业务、供(配)电业务、供电业务；水路普通货物运输、道路货物运输(不含危险货物)、道路危险货物运输；建设工程施工；石油、天然气管道储运；食品添加剂生产；第二类医疗器械生产；住宿服务；出版物零售；音像制品制作、音像制品复制；互联网信息服务。一般经营项目：化工产品生产(不含许可类化工产品)、化工产品销售(不含许可类化工产品)；肥料生产、肥料销售；食品添加剂销售；石油制品制造(不含危化品)、石油制品销售(不含危化品)；润滑油加工(不含危化品)、润滑油制造(不含危化品)、润滑油销售；陆上管道运输、海底管道运输服务；工程技术服务(规划管理、勘察、设计、监理除外)、工程管理服务、石油天然气技术服务；碳减排、碳转化、碳捕捉、碳封存技术研发；新兴能源技术研发、新材料技术研发、新材料技术推广服务；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；电池制造、站用加氢及储氢设施销售；机动车充电销售、集中式快速充电站、电动汽车充电基础设施运营、新能源汽车电附件销售、电池销售、新能源汽车换电设施销售；燃气汽车加气经营；合成材料制造(不含危险化学品)、合成材料销售；工程塑料及合成树脂制造、工程塑料及合成树脂销售；合成纤维制造、合成纤维销售；新型膜材料制造、新型膜材料销售；高品质合成橡胶销售；高性能纤维及复合材料制造、高性能纤维及复合材料销售；生物基材料制造、生物基材料销售；石墨及碳素制品制造、石墨及碳素制品销售；石墨烯材料销售；电子专用材料制造、电子专用材料销售、电子专用材料研发；工程和技术研究和试验发展。管道运输设备销售；机动车修理和维护；汽车零配件零售；日用百货销售；农业机械销售；第二类医疗器械销售；货物进出口、技术进出口、报关业务；国内货物运输代理、国际货物运输代理、海上国际货物运输代理、国内船舶代理、国际船舶代理；住宿服务；食品销售(仅销售预包装食品)、食品销售、农副产品销售、烟草制品零售、电子烟零售；出版物零售、音像制品出租；非居住房地产租赁、住房租赁、机械设备租赁；服装服饰零售、体育用品及器材零售、文具用品批发、文具用品零售、五金产品批发、五金产品零售、家具销售、家具零配件销售、建筑材料销售、日用家电零售、家用电器销售、电子产品销售、日用品批发、日用品销售、卫生用品和一次性使用医疗用品销售、劳动保护用品销售、单用途商业预付卡代理销售；销售代理；票务代理服务；电子过磅服务；广告制作、设计、代理、发布；专业保洁、清洗、消毒服务。,能源,采矿业,石油石化,石油石化,"183,020,977,818.00","1,248,823,963,342.32","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国石油天然气股份有限公司简称为中国石油，请对其进行打分。近日，中国石油连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601288.SH,农业银行,AGRICULTURAL BANK OF CHINA,"349,983,033,873.00",中国农业银行股份有限公司,Agricultural Bank of China Limited,中央国有企业,大型,存款服务、电子银行、行业研究、交付结算、交易业务、金融同业业务、其他服务、融资融信、投资理财、投资银行业务、托管业务、现金管理、银行卡、中小企业业务,存贷款业务、电子银行业务、机构业务、结算业务、人民币理财、托管业务、银行卡、证券业务、中间业务,公司的前身最早可追溯至1951年成立的农业合作银行。上世纪70年代末以来，本行相继经历了国家专业银行、国有独资商业银行和国有控股商业银行等不同发展阶段。2009年1月，本行整体改制为股份有限公司。2010年7月，分别在上海证券交易所和香港联合交易所挂牌上市，完成了向公众持股银行的跨越。公司是中国主要的综合性金融服务提供商之一，致力于建设多功能协同的现代金融服务集团。公司凭借全面的业务组合、庞大的分销网络和领先的技术平台，向广大客户提供各种公司银行和零售银行产品和服务，同时开展金融市场业务及资产管理业务，业务范围还涵盖投资银行、基金管理、金融租赁、人寿保险等领域。,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；结汇、售汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；代理资金清算；各类汇兑业务；代理政策性银行、外国政府和国际金融机构贷款业务；贷款承诺；组织或参加银团贷款；外汇存款；外汇贷款；外汇汇款；外汇借款；发行、代理发行、买卖或代理买卖股票以外的外币有价证券；外汇票据承兑和贴现；自营、代客外汇买卖；外币兑换；外汇担保；资信调查、咨询、见证业务；企业、个人财务顾问服务；证券公司客户交易结算资金存管业务；证券投资基金托管业务；企业年金托管业务；产业投资基金托管业务；合格境外机构投资者境内证券投资托管业务；代理开放式基金业务；电话银行、手机银行、网上银行业务；金融衍生产品交易业务；经国务院银行业监督管理机构等监管部门批准的其他业务。,金融,金融业,银行,银行,"349,983,033,873.00","1,245,545,290,530.36","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国农业银行股份有限公司简称为农业银行，请对其进行打分。近日，农业银行连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601939.SH,建设银行,CCB,"250,010,977,486.00",中国建设银行股份有限公司,China Construction Bank Corporation,中央国有企业,大型,建设财政社保服务、建设银行保理业务、建设银行存贷款业务、建设银行个人网上银行、建设银行公积金电子查询、建设银行国际结算业务、建设银行国外银行业务、建设银行黄金业务、建设银行基金代销业务、建设银行基金托管业务、建设银行龙卡借记卡、建设银行龙卡信用卡、建设银行企业网上银行、建设银行手机银行、建设银行同业合作、建设银行外汇业务、建设银行证券代理业务、建设银行咨询顾问、建设银行资金结算业务、建设政府机构服务,存贷款业务、电子银行业务、国际业务、机构业务、结算业务、人民币理财、托管业务、银行卡、证券业务、中间业务,公司成立于1954年10月，是一家国内领先、国际知名的大型股份制商业银行，总部设在北京。公司与众多支撑和引领中国经济发展的优质企业和大量高端客户保持密切合作关系；在中国香港、新加坡、法兰克福、约翰内斯堡、开普敦、东京、大阪、首尔、纽约、胡志明市、悉尼、墨尔本、布里斯班、中国台北、卢森堡、中国澳门、多伦多、巴黎、阿姆斯特丹、巴塞罗那、米兰、伦敦、苏黎世和迪拜设有海外分行，拥有建行亚洲、建银国际、建行伦敦、建行俄罗斯、建行迪拜、建行欧洲、建行新西兰、建行巴西、建信基金、建信租赁、建信信托、建信人寿、建信期货、建信养老金、中德住房储蓄银行等多家子公司。公司秉承“以客户为中心、以市场为导向”的经营理念，加快向综合性银行集团、多功能服务、集约化发展、创新银行、智慧银行五个方向转型，通过加快产品、渠道和服务模式的创新，为客户提供优质的综合金融服务，多项核心经营指标居于市场领先地位。,吸收公众存款；发放短期、中期、长期贷款；办理国内外结算；办理票据承兑与贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；买卖、代理买卖外汇；从事银行卡业务；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；经国务院银行业监督管理机构等监管部门批准的其他业务。,金融,金融业,银行,银行,"250,010,977,486.00","1,063,136,003,579.14","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国建设银行股份有限公司简称为建设银行，请对其进行打分。近日，建设银行连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601988.SH,中国银行,BANK OF CHINA,"294,387,791,241.00",中国银行股份有限公司,Bank of China Limited,中央国有企业,大型,"南航明珠中银信用卡、中国银行""春夏秋冬""外汇理财、中国银行""汇聚宝""外汇理财、中国银行""两得宝""外汇理财、中国银行""期权宝""外汇理财、中国银行""外汇宝""外汇理财、中国银行保理业务、中国银行存贷款业务、中国银行代发薪服务、中国银行代理保险服务、中国银行代理政策性银行贷款、中国银行个人网上银行、中国银行缴费服务、中国银行境内居民个人购汇、中国银行企业网上银行、中国银行全球汇款、中国银行人民币理财产品、中国银行信用证业务、中国银行债券宝、中国银行长城电子借记卡、中国银行长城国际借记卡、中国银行账户服务、中银VISA奥运信用卡、中银国债投资、中银基金投资服务、中银联想VISA信用卡、中银全球通信用卡、中银信用卡、中银银联双币信用卡、中银长城国际卡、中银证券投资服务",存贷款业务、电子银行业务、国际业务、机构业务、人民币理财、外汇理财、银行卡、证券业务、中间业务,公司是中国国际化和多元化程度最高的银行，在中国内地及51个国家和地区为客户提供全面的金融服务。主要经营商业银行业务，包括公司金融业务、个人金融业务和金融市场业务，并通过全资子公司中银国际控股有限公司开展投资银行业务，通过全资子公司中银集团保险有限公司及中银保险有限公司经营保险业务，通过全资子公司中银集团投资有限公司经营直接投资和投资管理业务，通过控股中银基金管理有限公司经营基金管理业务，通过控股中银航空租赁有限公司经营飞机租赁业务。在一百多年的发展历程中，公司始终秉承追求卓越的精神，将爱国爱民作为办行之魂，将诚信至上作为立行之本，将改革创新作为强行之路，将以人为本作为兴行之基，树立了卓越的品牌形象，得到了业界和客户的广泛认可和赞誉。,吸收人民币存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；从事同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务；外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；结汇、售汇；发行和代理发行股票以外的外币有价证券；买卖和代理买卖股票以外的外币有价证券；自营外汇买卖；代客外汇买卖；外汇信用卡的发行和代理国外信用卡的发行及付款；资信调查、咨询、见证业务；组织或参加银团贷款；国际贵金属买卖；海外分支机构经营当地法律许可的一切银行业务；在港澳地区的分行依据当地法令可发行或参与代理发行当地货币；经中国银行业监督管理委员会等监管部门批准的其他业务。,金融,金融业,银行,银行,"294,387,791,241.00","1,054,429,654,635.57","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国银行股份有限公司简称为中国银行，请对其进行打分。近日，中国银行连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
300750.SZ,宁德时代,CATL,"4,399,041,236.00",宁德时代新能源科技股份有限公司,"Contemporary Amperex Technology Co., Ltd.",民营企业,大型,电池包、电池柜、电箱、电芯、模组、三元前驱体—镍钴锰氢氧化物,专用设备与零部件,公司是全球领先的动力电池系统提供商，专注于新能源汽车动力电池系统、储能系统的研发、生产和销售，致力于为全球新能源应用提供一流解决方案。公司在电池材料、电池系统、电池回收等产业链关键领域拥有核心技术优势及可持续研发能力，形成了全面、完善的生产服务体系。公司拥有国际一流的研发团队，设立了“福建省院士专家工作站”，拥有锂离子电池企业省级重点实验室、中国合格评定国家认可委员会(CNAS)认证的测试验证中心，参与了《电动客车安全技术条件》、《电动汽车用锂离子动力蓄电池安全要求》、《电力储能用锂离子电池》等多个国家、行业规范及标准的制定。公司承担了“十二五”国家新能源汽车产业技术创新工程项目、“十三五”国家重点研发计划新能源汽车专项项目和智能电网与装备专项项目、国家火炬计划产业化示范项目等国家级项目，为首批入选工信部《汽车动力蓄电池行业规范条件》目录的十家动力电池企业之一、《锂离子电池行业规范条件》目录的八家锂离子电池企业之一。公司曾获得中国化学与物理电源行业协会“中国动力和储能用锂离子电池前10强企业”、中国储能网“中国储能产业最具影响力企业”、工信部和财政部“2017年国家技术创新示范企业”等多项荣誉。,锂离子电池、锂聚合物电池、燃料电池、动力电池、超大容量储能电池、超级电容器、电池管理系统及可充电电池包、风光电储能系统、相关设备仪器的开发、生产和销售及售后服务；对新能源行业的投资；锂电池及相关产品的技术服务、测试服务以及咨询服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动),工业,制造业,电力设备,电力设备及新能源,"4,398,257,697.00","793,005,862,769.10","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将宁德时代新能源科技股份有限公司简称为宁德时代，请对其进行打分。近日，宁德时代连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
600036.SH,招商银行,CMB,"25,219,845,601.00",招商银行股份有限公司,"China Merchants Bank Co., Ltd.",公众企业,大型,招商银行本外币理财计划、招商银行城际通、招商银行存贷款业务、招商银行第三方存管业务、招商银行点金公司金融、招商银行点金公司理财计划、招商银行个人黄金买卖、招商银行个人自助结汇业务、招商银行国际结算、招商银行航空电子客票、招商银行基金托管业务、招商银行金葵花卡、招商银行进口信用证来单查询、招商银行境内汇款、招商银行境外汇款、招商银行开放式基金、招商银行离岸业务、招商银行联名卡、招商银行企业资信服务、招商银行同城转帐、招商银行外汇期权、招商银行外资银行、招商银行网上支付、招商银行信用卡、招商银行一卡通、招商银行证券代理业务、招商银行资金结算业务、招商银行自助缴费,存贷款业务、国际业务、机构业务、结算业务、人民币理财、托管业务、外汇理财、银行卡、证券业务、中间业务,公司是中国境内第一家完全由企业法人持股的股份制商业银行、国家从体制外推动银行业改革的第一家试点银行，也是一家拥有商业银行、金融租赁、基金管理、人寿保险、境外投行等金融牌照的银行集团。近年来，公司聚焦移动优先策略，拥抱金融科技(Fintech)，率先推出闪电贷、刷脸取款、“一闪通”支付等创新服务，招商银行手机银行、掌上生活两大App已成行业翘楚，月活量均稳居金融行业前十。经过多年创新发展，招商银行部分业务领域已成为国内商业银行的标杆，连续多年获得境内外权威媒体评选的“中国最佳零售银行”“中国最佳私人银行”“中国最佳交易银行”等殊荣。,吸收公众存款；发放短期、中期和长期贷款；办理结算；办理票据贴现；发行金融债券；代理发行、代理兑付、承销政府债券；买卖政府债券；同业拆借；提供信用证服务及担保；代理收付款项及代理保险业务；提供保管箱服务。外汇存款；外汇贷款；外汇汇款；外币兑换；国际结算；结汇、售汇；同业外汇拆借；外汇票据的承兑和贴现；外汇借款；外汇担保；买卖和代理买卖股票以外的外币有价证券；发行和代理发行股票以外的外币有价证券；自营和代客外汇买卖；资信调查、咨询、见证业务；离岸金融业务。经国务院银行业监督管理机构批准的其他业务。,金融,金融业,银行,银行,"25,219,845,601.00","755,625,080,565.26","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将招商银行股份有限公司简称为招商银行，请对其进行打分。近日，招商银行连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
601628.SH,中国人寿,CHINA LIFE,"28,264,705,000.00",中国人寿保险股份有限公司,China Life Insurance Company Limited,中央国有企业,大型,中国人寿保险计划、中国人寿保障保险、中国人寿健康保险、中国人寿理财保险、中国人寿少儿保险、中国人寿团体保障保险、中国人寿团体短期保险、中国人寿团体健康保险、中国人寿团体年金保险、中国人寿万能保险、中国人寿养老保险、中国人寿意外保险、中国人寿资产管理业务,个人保险、健康险、理财保险、少儿保险、团体保险、万能保险、养老保险、意外险、资产管理业务,公司是国内寿险行业的龙头企业。公司作为《财富》世界500强和世界品牌500强企业的核心成员，公司以悠久的历史、雄厚的实力、专业领先的竞争优势及世界知名的品牌赢得了社会最广泛客户的信赖，始终占据国内保险市场领导者的地位，被誉为中国保险业的“中流砥柱”。公司是中国最大的人寿保险公司，拥有由保险营销员、团险销售人员以及专业和兼业代理机构组成的中国最广泛的分销网络。公司提供个人人寿保险、团体人寿保险、意外险和健康险等产品与服务，是中国领先的个人和团体人寿保险与年金产品、意外险和健康险供应商。,人寿保险、健康保险、意外伤害保险等各类人身保险业务；人身保险的再保险业务；国家法律、法规允许或国务院批准的资金运用业务；各类人身保险服务、咨询和代理业务；证券投资基金销售业务；国家保险监督管理部门批准的其他业务。,金融,金融业,非银金融,非银行金融,"28,264,705,000.00","727,773,170,404.28","请忘记之前的指令。假装自己是一位金融专家，将要对以下新闻进行打分，利好为正分，利空为负分，分数区间为-10到+10分，要求直接输出分数而不输出多余的解释等内容。
以下将中国人寿保险股份有限公司简称为中国人寿，请对其进行打分。近日，中国人寿连续第二个交易日上演“地天板”，近7个交易日收获4涨停3跌停。"
