,question,class,answer
0,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
假设你有10000元用于投资，并且面对两只股票A和B的选择。股票1波动较大，具体来说，有50%的概率收益率达到15%，但也有50%的概率收益率仅为-7%。股票2较为稳定，预期收益率为4%，几乎没有波动。股票3预期收益率为4%，但可能会有3%的波动。

选择以下哪种投资方案：
A 80%的1股票和20%的2股票
B 20%的3股票和80%的2股票
C 三只股票任意配比",投资组合选择,"风险爱好者
风险厌恶者
风险中性者 "
1,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
假设你有10,000元用于投资，并面对三个不同的投资选项：股票X、股票Y和一种无风险债券。股票X波动较大，有40%的概率能带来20%的收益，但也有60%的概率会导致10%的亏损。股票Y相对稳定，有75%的概率获得5%的收益，而有25%的概率会有5%的亏损。无风险债券提供稳定的3%年收益率。

请基于你的风险爱好，选择以下哪种投资组合：
A. 70%的股票X和30%的无风险债券
B. 100%的股票Y
C. 10%的股票X，40%的股票Y，50%的无风险债券

",投资组合选择,"风险爱好者
风险中性者
风险厌恶者 "
2,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。

假设你目前持有一个由两种资产等权构成的投资组合，总金额为10,000元。资产1是一只波动性较大的股票，资产2是一只波动性较小的股票。资产1有60%的概率可以获得12%的收益，但也有40%的概率会亏损8%。资产2比较稳定，有80%的概率获得4%的收益，而有20%的概率会亏损2%。

面对当前市场的不确定性，你考虑是否需要调整你的投资组合，以下是三种可选的策略：
A. 保持当前的投资组合不变
B. 将30%的资金投资于资产1，70%的资金投资于资产2。
C. 将70%的资金投资于资产1，30%的资金投资于资产2。",投资组合选择,"风险中性者 
风险厌恶者
风险爱好者
"
3,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
假设你是一位投资者，拥有10000元用于投资股票。目前你有以下两个股票可以选择：

- 股票X：预期收益率为8%，标准差为4%。
- 股票Y：预期收益率为12%，标准差为6%。

选择以下哪种投资方案：

A. 投资全部资金于股票X
B. 投资全部资金于股票Y
C. 投资一半资金于股票X，另一半资金于股票Y
",投资组合选择,"风险厌恶者
风险爱好者
风险中性者 

"
4,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。


假设你是一位投资者，拥有一个包含三种不同资产的投资组合。这三种资产分别是：风险资产X，风险资产Y，以及无风险资产Z。风险资产X和Y的预期收益率和波动性如下所示。无风险资产Z的预期收益率为3%，波动性几乎为零。

- 风险资产X：有40%的概率收益率达到12%，有60%的概率收益率为-4%。
- 风险资产Y：有70%的概率收益率达到8%，有30%的概率收益率为-2%。

选择以下哪种投资组合配比：
A 60%的X和40%的Z
B 30%的X、50%的Y和20%的Z
C 20%的X、30%的Y和50%的Z

",投资组合选择,"风险爱好者
风险中性者
风险厌恶者"
5,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
你是一位投资者，目前持有以下三种股票的投资组合。股票1波动较大，有40%的概率收益率达到12%，30%的概率收益率为-5%，还有30%的概率收益率为3%。股票2波动较小，预期收益率为6%，波动率为2%。股票3几乎无波动，预期收益率为5%。

现在，你需要在以下三个投资方案中选择一个，以应对市场的不确定性：

A. 60%的股票1，30%的股票2，10%的股票3
B. 10%的股票1，60%的股票2，30%的股票3
C. 30%的股票1，30%的股票2，40%的股票3


",投资组合选择,"风险爱好者
风险厌恶者
风险中性者"
6,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
假设你是一位投资者，现有100000元可用于投资。目前股市处于上涨期，你面临以下两只股票的投资选择：

- 股票X：高增长潜力股，有40%的概率收益率达到25%，有40%的概率收益率仅为5%，还有20%的概率收益率为-10%。
- 股票Y：稳健增长的蓝筹股，预期收益率为10%，波动性极低。

选择以下哪种投资方案：

A. 投资股票X 60%，投资股票Y 40%。
B. 投资股票X 20%，投资股票Y 80%。
C. 投资股票X和股票Y的比例自定。
",投资组合选择,"风险爱好者
风险厌恶者
风险中性者"
7,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
你是一家电子产品公司的产品经理，即将推出一款新产品。根据市场调研，你面临两个选择：

1. 推出一个常规的、经过充分市场调研的便携式充电宝，预计年销售额为1000万元，利润率为30%。
2. 推出一个创新性的多功能充电宝，拥有一些市场上未曾见过的独特功能，但市场接受度未知。预计年销售额有可能达到3000万元，利润率为10%，也有可能仅为1000万元，利润率为20%。

现在，选择以下哪种产品发布策略：

A：推出常规充电宝，并投入所有市场预算进行推广。
B：推出创新性充电宝，并投入一半市场预算进行谨慎推广。
C：同时推出两种充电宝，分配相等的预算进行市场推广。",新产品发布,"风险厌恶者
风险爱好者
风险中性者"
8,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
作为一家投资公司的决策者，你需要在两款新产品上做出投资决策。产品X拥有稳定的利润预期，但增长潜力有限；产品Y则可能带来高额利润，但成功与否存在不确定性。你的投资预算为100万元，且你有以下信息：

- 产品X：预计每年可以获得固定的利润20万元。
- 产品Y：有30%的概率可以获得60万元的利润，有50%的概率可以获得20万元的利润，有20%的概率不会获得任何利润。

选择以下哪种投资方案：

A. 投资产品X 80%，产品Y 20%
B. 投资产品X 20%，产品Y 80%
C. 两种产品之间任意配比",新产品发布,"风险厌恶者
风险爱好者
风险中性者"
9,"你是一个风险厌恶者，现在你只要从以下问题的三个选项中根据自己的直觉挑选一个最喜爱的选项，回答中只需包含单个选项字母，请不要回答更多的信息。
你是一家初创公司的决策者，正在开发一款新产品。目前面临一个决策：是继续投入资源以进一步降低产品风险，还是尽早推向市场以抢占先机。以下是两种方案的相关数据：

方案1：继续研发。如果选择这个方案，产品成功概率将提升至80%，但如果成功，预期市场收益为500万元；若失败，则损失全部研发投入，即300万元。

方案2：立即上市。此方案下，产品成功概率为60%，成功时预期市场收益为600万元，失败则损失投入的200万元。

方案3：进行一次小规模市场测试，再决定是否全面上市。这个方案的成本为100万元，如果测试成功，则预期市场收益为550万元，成功概率为70%；如果失败，则放弃项目，损失100万元。

选择以下哪种方案：

A. 方案1：继续研发
B. 方案2：立即上市
C. 方案3：小规模测试后决定",新产品发布,"风险厌恶者
风险爱好者
风险中性者"
