,question,class,answer,english
0,"假设你有10000元用于投资，并且面对两只股票A和B的选择。股票1波动较大，具体来说，有50%的概率收益率达到15%，但也有50%的概率收益率仅为-7%。股票2较为稳定，预期收益率为4%，几乎没有波动。股票3预期收益率为4%，但可能会有3%的波动。

选择以下哪种投资方案：
A 80%的1股票和20%的2股票
B 20%的3股票和80%的2股票
C 三只股票任意配比",投资组合选择,"风险爱好者
风险厌恶者
风险中性者 ","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you have 10000 yuan for investment and are faced with the choice of two stocks A and B. Stock 1 has significant volatility. Specifically, there is a 50% chance of a return of 15%, but there is also a 50% chance of a return of only -7%. Stock 2 is relatively stable with an expected return of 4% and almost no volatility. The expected return on stock 3 is 4%, but there may be a fluctuation of 3%.
Choose the following investment plan:
A 80% of 1 stocks and 20% of 2 stocks
B 20% of 3 stocks and 80% of 2 stocks
C Three stocks can be matched arbitrarily"
1,"假设你有10,000元用于投资，并面对三个不同的投资选项：股票X、股票Y和一种无风险债券。股票X波动较大，有40%的概率能带来20%的收益，但也有60%的概率会导致10%的亏损。股票Y相对稳定，有75%的概率获得5%的收益，而有25%的概率会有5%的亏损。无风险债券提供稳定的3%年收益率。

请基于你的风险爱好，选择以下哪种投资组合：
A. 70%的股票X和30%的无风险债券
B. 100%的股票Y
C. 10%的股票X，40%的股票Y，50%的无风险债券

",投资组合选择,"风险爱好者
风险中性者
风险厌恶者 ","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you have 10000 yuan for investment and face three different investment options: stock X, stock Y, and a risk-free bond. Stock X fluctuates greatly, with a 40% chance of generating a 20% return, but there is also a 60% chance of causing a 10% loss. Stock Y is relatively stable, with a 75% chance of receiving a 5% return and a 25% chance of experiencing a 5% loss. Risk free bonds offer a stable 3% annual yield.
Please choose the following investment portfolio based on your risk preference:
A. 70% of stocks X and 30% of risk-free bonds
B. 100% stock Y
C. 10% of stocks X, 40% of stocks Y, and 50% of risk-free bonds"
2,"
假设你目前持有一个由两种资产等权构成的投资组合，总金额为10,000元。资产1是一只波动性较大的股票，资产2是一只波动性较小的股票。资产1有60%的概率可以获得12%的收益，但也有40%的概率会亏损8%。资产2比较稳定，有80%的概率获得4%的收益，而有20%的概率会亏损2%。

面对当前市场的不确定性，你考虑是否需要调整你的投资组合，以下是三种可选的策略：
A. 保持当前的投资组合不变
B. 将30%的资金投资于资产1，70%的资金投资于资产2。
C. 将70%的资金投资于资产1，30%的资金投资于资产2。",投资组合选择,"风险中性者 
风险厌恶者
风险爱好者
","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you currently hold an investment portfolio consisting of two types of assets with equal rights, with a total amount of 10000 yuan. Asset 1 is a stock with high volatility, while Asset 2 is a stock with low volatility. Asset 1 has a 60% chance of receiving a 12% return, but there is also a 40% chance of losing 8%. Asset 2 is relatively stable, with an 80% chance of receiving a 4% return and a 20% chance of losing 2%.
Faced with the uncertainty of the current market, you are considering whether to adjust your investment portfolio. The following are three optional strategies:
A. Keep the current investment portfolio unchanged
B. Invest 30% of the funds in Asset 1 and 70% in Asset 2.
C. Invest 70% of the funds in Asset 1 and 30% in Asset 2."
3,"假设你是一位投资者，拥有10000元用于投资股票。目前你有以下两个股票可以选择：

- 股票X：预期收益率为8%，标准差为4%。
- 股票Y：预期收益率为12%，标准差为6%。

选择以下哪种投资方案：

A. 投资全部资金于股票X
B. 投资全部资金于股票Y
C. 投资一半资金于股票X，另一半资金于股票Y
",投资组合选择,"风险厌恶者
风险爱好者
风险中性者 

","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are an investor with 10000 yuan to invest in stocks. Currently, you have two stocks to choose from:
-Stock X: The expected return is 8%, with a standard deviation of 4%.
-Stock Y: The expected return is 12%, with a standard deviation of 6%.
Choose the following investment plan:
A. Invest all funds in stock X
B. Invest all funds in stock Y
C. Invest half of the funds in stock X and the other half in stock Y"
4,"

假设你是一位投资者，拥有一个包含三种不同资产的投资组合。这三种资产分别是：风险资产X，风险资产Y，以及无风险资产Z。风险资产X和Y的预期收益率和波动性如下所示。无风险资产Z的预期收益率为3%，波动性几乎为零。

- 风险资产X：有40%的概率收益率达到12%，有60%的概率收益率为-4%。
- 风险资产Y：有70%的概率收益率达到8%，有30%的概率收益率为-2%。

选择以下哪种投资组合配比：
A 60%的X和40%的Z
B 30%的X、50%的Y和20%的Z
C 20%的X、30%的Y和50%的Z

",投资组合选择,"风险爱好者
风险中性者
风险厌恶者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are an investor with a portfolio of three different assets. These three types of assets are: risk asset X, risk asset Y, and risk-free asset Z. The expected returns and volatility of risk assets X and Y are shown below. The expected return on risk-free asset Z is 3%, with almost zero volatility.
-Risk asset X: There is a 40% probability of a 12% return and a 60% probability of a -4% return.
-Risk asset Y: There is a 70% probability that the return rate will reach 8%, and a 30% probability that the return rate will be -2%.
Choose which of the following investment portfolio ratios:
A 60% X and 40% Z
30% X, 50% Y, and 20% Z of B
C 20% X, 30% Y, and 50% Z"
5,"你是一位投资者，目前持有以下三种股票的投资组合。股票1波动较大，有40%的概率收益率达到12%，30%的概率收益率为-5%，还有30%的概率收益率为3%。股票2波动较小，预期收益率为6%，波动率为2%。股票3几乎无波动，预期收益率为5%。

现在，你需要在以下三个投资方案中选择一个，以应对市场的不确定性：

A. 60%的股票1，30%的股票2，10%的股票3
B. 10%的股票1，60%的股票2，30%的股票3
C. 30%的股票1，30%的股票2，40%的股票3


",投资组合选择,"风险爱好者
风险厌恶者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are an investor and currently hold a portfolio of the following three stocks. Stock 1 has significant volatility, with a 40% chance of achieving a return of 12%, a 30% chance of a return of -5%, and a 30% chance of a return of 3%. Stock 2 has relatively low volatility, with an expected return of 6% and a volatility of 2%. Stock 3 has almost no volatility and an expected return of 5%.
Now, you need to choose one of the following three investment plans to deal with market uncertainty:
A. 60% of stock 1, 30% of stock 2, and 10% of stock 3
B. 10% of stock 1, 60% of stock 2, 30% of stock 3
C. 30% Stock 1, 30% Stock 2, 40% Stock 3"
6,"假设你是一位投资者，现有100000元可用于投资。目前股市处于上涨期，你面临以下两只股票的投资选择：

- 股票X：高增长潜力股，有40%的概率收益率达到25%，有40%的概率收益率仅为5%，还有20%的概率收益率为-10%。
- 股票Y：稳健增长的蓝筹股，预期收益率为10%，波动性极低。

选择以下哪种投资方案：

A. 投资股票X 60%，投资股票Y 40%。
B. 投资股票X 20%，投资股票Y 80%。
C. 投资股票X和股票Y的比例自定。
",投资组合选择,"风险爱好者
风险厌恶者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
Assuming you are an investor, there are 100000 yuan available for investment. At present, the stock market is in an upward period, and you are facing investment choices in the following two stocks:
-Stock X: A high growth potential stock with a 40% probability of achieving a 25% return, a 40% probability of only 5% return, and a 20% probability of -10% return.
-Stock Y: A steadily growing blue chip stock with an expected return of 10% and extremely low volatility.
Choose the following investment plan:
A. Invest 60% in stocks and 40% in stocks.
B. Invest 20% in stocks and 80% in stocks.
C. The ratio of investing in stock X to stock Y is self determined."
7,"你是一家电子产品公司的产品经理，即将推出一款新产品。根据市场调研，你面临两个选择：

1. 推出一个常规的、经过充分市场调研的便携式充电宝，预计年销售额为1000万元，利润率为30%。
2. 推出一个创新性的多功能充电宝，拥有一些市场上未曾见过的独特功能，但市场接受度未知。预计年销售额有可能达到3000万元，利润率为10%，也有可能仅为1000万元，利润率为20%。

现在，选择以下哪种产品发布策略：

A：推出常规充电宝，并投入所有市场预算进行推广。
B：推出创新性充电宝，并投入一半市场预算进行谨慎推广。
C：同时推出两种充电宝，分配相等的预算进行市场推广。",新产品发布,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are a product manager for an electronic product company and are about to launch a new product. According to market research, you are faced with two choices:
1. Launch a conventional and thoroughly researched portable power bank, with an expected annual sales revenue of 10 million yuan and a profit margin of 30%.
2. Launch an innovative multifunctional power bank with unique features that have not been seen in the market, but market acceptance is unknown. It is expected that the annual sales revenue may reach 30 million yuan with a profit margin of 10%, or it may only be 10 million yuan with a profit margin of 20%.
Now, which of the following product release strategies to choose
A: Launch regular power banks and invest all market budgets for promotion.
B: Launch innovative power banks and invest half of the market budget for cautious promotion.
C: Simultaneously launch two types of power banks and allocate equal budgets for market promotion."
8,"作为一家投资公司的决策者，你需要在两款新产品上做出投资决策。产品X拥有稳定的利润预期，但增长潜力有限；产品Y则可能带来高额利润，但成功与否存在不确定性。你的投资预算为100万元，且你有以下信息：

- 产品X：预计每年可以获得固定的利润20万元。
- 产品Y：有30%的概率可以获得60万元的利润，有50%的概率可以获得20万元的利润，有20%的概率不会获得任何利润。

选择以下哪种投资方案：

A. 投资产品X 80%，产品Y 20%
B. 投资产品X 20%，产品Y 80%
C. 两种产品之间任意配比",新产品发布,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
As a decision-maker for an investment company, you need to make investment decisions on two new products. Product X has stable profit expectations, but limited growth potential; Product Y may bring high profits, but there is uncertainty about its success. Your investment budget is 1 million yuan, and you have the following information:
-Product X: It is expected to generate a fixed profit of 200000 yuan per year.
-Product Y: There is a 30% chance of earning a profit of 600000 yuan, a 50% chance of earning a profit of 200000 yuan, and a 20% chance of not earning any profit.
Choose the following investment plan:
A. Investment product X 80%, product Y 20%
B. Investment product X 20%, product Y 80%
C. Any ratio between two products"
9,"你是一家初创公司的决策者，正在开发一款新产品。目前面临一个决策：是继续投入资源以进一步降低产品风险，还是尽早推向市场以抢占先机。以下是两种方案的相关数据：

方案1：继续研发。如果选择这个方案，产品成功概率将提升至80%，但如果成功，预期市场收益为500万元；若失败，则损失全部研发投入，即300万元。

方案2：立即上市。此方案下，产品成功概率为60%，成功时预期市场收益为600万元，失败则损失投入的200万元。

方案3：进行一次小规模市场测试，再决定是否全面上市。这个方案的成本为100万元，如果测试成功，则预期市场收益为550万元，成功概率为70%；如果失败，则放弃项目，损失100万元。

选择以下哪种方案：

A. 方案1：继续研发
B. 方案2：立即上市
C. 方案3：小规模测试后决定",新产品发布,"风险厌恶者
风险爱好者
风险中性者","You have a consistent risk preference, now you just need to choose your favorite option based on your intuition from the three options in the following question. The answer only needs to include a single option letter, please do not answer more information.
You are a decision-maker for a startup company and are developing a new product. At present, we are facing a decision: whether to continue investing resources to further reduce product risks, or to launch into the market as early as possible to seize the opportunity. The following are the relevant data for two schemes:
Option 1: Continue research and development. If this plan is chosen, the probability of product success will increase to 80%, but if successful, the expected market return is 5 million yuan; If it fails, it will result in a loss of all research and development investment, which is 3 million yuan.
Option 2: Immediately go public. Under this plan, the probability of product success is 60%, with an expected market return of 6 million yuan upon success, and a loss of 2 million yuan in investment upon failure.
Option 3: Conduct a small-scale market test before deciding whether to go public comprehensively. The cost of this plan is 1 million yuan. If the test is successful, the expected market return is 5.5 million yuan, with a success probability of 70%; If it fails, abandon the project and lose 1 million yuan.
Choose which of the following options:
A. Option 1: Continue research and development
B. Option 2: Immediate listing
C. Option 3: Decide after small-scale testing"
